correct_schema_str,question_id
"CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A15 INTEGER null, -- `no. of committed crimes 1995` description: no. of committed crimes 1995
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	foreign key (district_id) references district (district_id),
);",157
"CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
);

CREATE TABLE order
(
	order_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, -- description: id number of account
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	foreign key (district_id) references district (district_id),
);",158
"CREATE TABLE trans
(
	trans_id INTEGER default 0 not null primary key,
	account_id INTEGER default 0 not null, --
	operation TEXT null, -- examples: `VYBER`| `mode of transaction` description: mode of transaction value description: ""VYBER KARTOU"": credit card withdrawal ""VKLAD"": credit in cash ""PREVOD Z UCTU"" :collection from another bank ""VYBER"": withdrawal in cash ""PREVOD NA UCET"": remittance to another bank
	foreign key (account_id) references account (account_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
);

CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, -- description: id number of client
	account_id INTEGER not null, -- description: id number of account
	foreign key (account_id) references account (account_id),
	foreign key (client_id) references client (client_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
);",159
"CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, --
	amount INTEGER not null, --
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	frequency TEXT not null, -- examples: `POPLATEK TYDNE`| description: frequency of the acount
);",160
"CREATE TABLE card
(
	card_id INTEGER default 0 not null primary key,
	disp_id INTEGER not null, --
	type TEXT not null, -- description: type of credit card value description: ""junior"": junior class of credit card;  ""classic"": standard class of credit card;  ""gold"": high-level credit card
	foreign key (disp_id) references disp (disp_id),
);

CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, -- description: id number of client
	foreign key (client_id) references client (client_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
);",161
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	district_id INTEGER not null, --
	foreign key (district_id) references district (district_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A3 TEXT not null, -- `region` description: region
);",162
"CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	foreign key (district_id) references district (district_id),
);

CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, -- description: the id number identifying the account
	status TEXT not null, -- description: repayment status value description: 'A' stands for contract finished, no problems; 'B' stands for contract finished, loan not paid; 'C' stands for running contract, OK so far; 'D' stands for running contract, client in debt
	foreign key (account_id) references account (account_id),
);",163
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	district_id INTEGER not null, --
);

CREATE TABLE order
(
	order_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, -- description: id number of account
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
);",164
"CREATE TABLE trans
(
	trans_id INTEGER default 0 not null primary key,
	account_id INTEGER default 0 not null, --
	foreign key (account_id) references account (account_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	foreign key (district_id) references district (district_id),
);",165
"CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	foreign key (district_id) references district (district_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A2 TEXT not null, -- examples: `Jesenik`| `district_name` description: district_name
);",166
"CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, -- description: id number of client
);

CREATE TABLE card
(
	card_id INTEGER default 0 not null primary key,
	disp_id INTEGER not null, --
	type TEXT not null, -- examples: `junior`| description: type of credit card value description: ""junior"": junior class of credit card;  ""classic"": standard class of credit card;  ""gold"": high-level credit card
	issued DATE not null, -- examples: `1996-12-07`| description: the date when the credit card issued value description: in the form YYMMDD
	foreign key (disp_id) references disp (disp_id),
);",167
"CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A11 INTEGER not null, -- `average salary` description: average salary
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
	district_id INTEGER not null, --
	foreign key (district_id) references district (district_id),
);",168
"CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, --
	date DATE not null, -- examples: `1997-12-06`
	amount INTEGER not null, --
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
);

CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, --
	account_id INTEGER not null, --
	type TEXT not null, --
	foreign key (account_id) references account (account_id),
	foreign key (client_id) references client (client_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
);",169
"CREATE TABLE trans
(
	trans_id INTEGER default 0 not null primary key,
	account_id INTEGER default 0 not null, --
	date DATE not null, -- examples: `1995-04-13`
	operation TEXT null, -- examples: `VYBER`, `VYBER KARTOU`| `mode of transaction` description: mode of transaction value description: ""VYBER KARTOU"": credit card withdrawal ""VKLAD"": credit in cash ""PREVOD Z UCTU"" :collection from another bank ""VYBER"": withdrawal in cash ""PREVOD NA UCET"": remittance to another bank
);",170
"CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A3 TEXT not null, -- examples: `east Bohemia`, `north Bohemia`
	A16 INTEGER not null, -- `no. of committed crimes 1996` description: no. of committed crimes 1996
);",171
"CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	account_id INTEGER not null, -- description: id number of account
	type TEXT not null, -- description: type of disposition value description: ""OWNER"" : ""USER"" : ""DISPONENT""  the account can only have the right to issue permanent orders or apply for loans
);",172
"CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	frequency TEXT not null, -- description: frequency of the acount
);

CREATE TABLE order
(
	order_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, -- description: id number of account
	amount REAL not null, -- `debited amount` description: debited amount
	k_symbol TEXT not null, -- `characterization of the payment` description: purpose of the payment value description: ""POJISTNE"" stands for insurance payment ""SIPO"" stands for household payment ""LEASING"" stands for leasing ""UVER"" stands for loan payment
	foreign key (account_id) references account (account_id),
);",173
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	birth_date DATE not null, -- examples: `1940-10-09`| description: birth date
);

CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, --
	account_id INTEGER not null, -- description: id number of account
	foreign key (account_id) references account (account_id),
	foreign key (client_id) references client (client_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
);",174
"CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	frequency TEXT not null, -- examples: `POPLATEK PO OBRATU`| description: frequency of the acount
);

CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	account_id INTEGER not null, -- description: id number of account
	type TEXT not null, -- description: type of disposition value description: ""OWNER"" : ""USER"" : ""DISPONENT""  the account can only have the right to issue permanent orders or apply for loans
	foreign key (account_id) references account (account_id),
);",175
"CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, -- description: the id number identifying the account
	amount INTEGER not null, --
	status TEXT not null, -- description: repayment status value description: 'A' stands for contract finished, no problems; 'B' stands for contract finished, loan not paid; 'C' stands for running contract, OK so far; 'D' stands for running contract, client in debt
	foreign key (account_id) references account (account_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	district_id INTEGER not null, --
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
);",176
"CREATE TABLE trans
(
	trans_id INTEGER default 0 not null primary key,
	account_id INTEGER default 0 not null, --
	balance INTEGER not null, -- `balance after transaction` description: balance after transaction value description: Unit：USD
	foreign key (account_id) references account (account_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
	district_id INTEGER not null, --
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
);",177
"CREATE TABLE card
(
	card_id INTEGER default 0 not null primary key,
	disp_id INTEGER not null, --
	type TEXT not null, -- description: type of credit card value description: ""junior"": junior class of credit card;  ""classic"": standard class of credit card;  ""gold"": high-level credit card
	foreign key (disp_id) references disp (disp_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
);

CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, -- description: id number of client
	foreign key (client_id) references client (client_id),
);",178
"CREATE TABLE trans
(
	trans_id INTEGER default 0 not null primary key,
	account_id INTEGER default 0 not null, --
	date DATE not null, -- examples: `1995-03-24`| `date of transaction` description: date of transaction
	amount INTEGER not null, -- `amount of money` description: amount of money value description: Unit：USD
	foreign key (account_id) references account (account_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	district_id INTEGER not null, --
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
);",179
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	birth_date DATE not null, -- examples: `1945-02-04`| description: birth date
	district_id INTEGER not null, -- `location of branch` description: location of branch
	foreign key (district_id) references district (district_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, -- `location of branch` description: location of branch
	foreign key (district_id) references district (district_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A3 TEXT not null, -- examples: `east Bohemia`| `region` description: region
);",180
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
	district_id INTEGER not null, --
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
);

CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, -- description: the id number identifying the account
	amount INTEGER not null, --
	foreign key (account_id) references account (account_id),
);",181
"CREATE TABLE trans
(
	trans_id INTEGER default 0 not null primary key,
	account_id INTEGER default 0 not null, --
	amount INTEGER not null, --
	k_symbol TEXT null, -- examples: `SIPO`| `characterization of the transaction` value description: ""POJISTNE"": stands for insurrance payment ""SLUZBY"": stands for payment for statement ""UROK"": stands for interest credited ""SANKC. UROK"": sanction interest if negative balance ""SIPO"": stands for household ""DUCHOD"": stands for old-age pension ""UVER"": stands for loan payment
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
	birth_date DATE not null, -- examples: `1940-10-09`| description: birth date
	district_id INTEGER not null, --
);",182
"CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	date DATE not null, -- examples: `1997-07-07`| description: the creation date of the account value description: in the form YYMMDD
	foreign key (district_id) references district (district_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A2 TEXT not null, -- examples: `Beroun`| `district_name` description: district_name
);",183
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
);

CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, --
	foreign key (client_id) references client (client_id),
);

CREATE TABLE card
(
	card_id INTEGER default 0 not null primary key,
	disp_id INTEGER not null, --
	type TEXT not null, -- examples: `junior`| description: type of credit card value description: ""junior"": junior class of credit card;  ""classic"": standard class of credit card;  ""gold"": high-level credit card
	foreign key (disp_id) references disp (disp_id),
);",184
"CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A3 TEXT not null, -- examples: `Prague`
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
	district_id INTEGER not null, -- `location of branch` description: location of branch
	foreign key (district_id) references district (district_id),
);",185
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
	district_id INTEGER not null, --
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	frequency TEXT not null, -- examples: `POPLATEK TYDNE`| description: frequency of the acount
);",186
"CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	account_id INTEGER not null, --
	type TEXT not null, -- description: type of disposition value description: ""OWNER"" : ""USER"" : ""DISPONENT""  the account can only have the right to issue permanent orders or apply for loans
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	frequency TEXT not null, -- examples: `POPLATEK TYDNE`| description: frequency of the acount
);",187
"CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, --
	amount INTEGER not null, -- description: approved amount value description: unit：US dollar
	duration INTEGER not null, -- description: loan duration value description: unit：month
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	date DATE not null, -- examples: `1996-11-24`| description: the creation date of the account value description: in the form YYMMDD
);",188
"CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	foreign key (district_id) references district (district_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	gender TEXT not null, -- value description: F：female  M：male
	birth_date DATE not null, -- examples: `1943-05-01`
	district_id INTEGER not null, --
	foreign key (district_id) references district (district_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A11 INTEGER not null, -- `average salary` description: average salary
);",189
"CREATE TABLE client
(
	client_id INTEGER not null primary key,
	birth_date DATE not null, -- examples: `1945-02-04`
	district_id INTEGER not null, --
	foreign key (district_id) references district (district_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A3 TEXT not null, -- examples: `east Bohemia`| `region` description: region
);",190
"CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, --
	duration INTEGER not null, -- description: loan duration value description: unit：month
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	frequency TEXT not null, -- examples: `POPLATEK TYDNE`| description: frequency of the acount
);",191
"CREATE TABLE loan
(
	loan_id INTEGER default 0 not null primary key,
	account_id INTEGER not null, --
	payments REAL not null, --
	status TEXT not null, -- description: repayment status value description: 'A' stands for contract finished, no problems; 'B' stands for contract finished, loan not paid; 'C' stands for running contract, OK so far; 'D' stands for running contract, client in debt
	foreign key (account_id) references account (account_id),
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	frequency TEXT not null, -- examples: `POPLATEK PO OBRATU`
);",192
"CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, -- description: id number of client
	account_id INTEGER not null, -- description: id number of account
	type TEXT not null, -- description: type of disposition value description: ""OWNER"" : ""USER"" : ""DISPONENT""  the account can only have the right to issue permanent orders or apply for loans
	foreign key (account_id) references account (account_id),
);

CREATE TABLE district
(
	district_id INTEGER default 0 not null primary key,
	A2 TEXT not null, -- `district_name` description: district_name
);

CREATE TABLE account
(
	account_id INTEGER default 0 not null primary key,
	district_id INTEGER default 0 not null, --
	foreign key (district_id) references district (district_id),
);",193
"CREATE TABLE disp
(
	disp_id INTEGER not null primary key,
	client_id INTEGER not null, -- description: id number of client
	type TEXT not null, --
	foreign key (client_id) references client (client_id),
);

CREATE TABLE card
(
	card_id INTEGER default 0 not null primary key,
	disp_id INTEGER not null, --
	type TEXT not null, -- examples: `gold`| description: type of credit card value description: ""junior"": junior class of credit card;  ""classic"": standard class of credit card;  ""gold"": high-level credit card
	foreign key (disp_id) references disp (disp_id),
);

CREATE TABLE client
(
	client_id INTEGER not null primary key,
	birth_date DATE not null, -- examples: `1929-01-25`
);",194
"CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, -- description: unique id representing bonds value description: TRxxx_A1_A2: TRXXX refers to which molecule A1 and A2 refers to which atom
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
);",195
"CREATE TABLE molecule
(
	`molecule_id` TEXT NOT NULL, -- `molecule id` description: unique id of molecule value description: ""+"" --> this molecule / compound is carcinogenic '-' this molecule is not / compound carcinogenic
	`label` TEXT DEFAULT NULL, -- examples: `-`| description: whether this molecule is carcinogenic or not
	PRIMARY KEY (`molecule_id`),
);

CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- `molecule id` description: identifying the molecule to which the atom belongs value description: TRXXX_i represents ith atom of molecule TRXXX
	`element` TEXT DEFAULT NULL, -- examples: `c`| description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
	FOREIGN KEY (`molecule_id`) REFERENCES `molecule` (`molecule_id`),
);",196
"CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- `molecule id` description: identifying the molecule to which the atom belongs value description: TRXXX_i represents ith atom of molecule TRXXX
	`element` TEXT DEFAULT NULL, -- examples: `o`
	PRIMARY KEY (`atom_id`),
);

CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- description: identifying the molecule in which the bond appears
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
);",197
"CREATE TABLE molecule
(
	`molecule_id` TEXT NOT NULL, -- `molecule id` description: unique id of molecule value description: ""+"" --> this molecule / compound is carcinogenic '-' this molecule is not / compound carcinogenic
	`label` TEXT DEFAULT NULL, -- examples: `+`, `-`| description: whether this molecule is carcinogenic or not
	PRIMARY KEY (`molecule_id`),
);

CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- description: identifying the molecule in which the bond appears
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
	FOREIGN KEY (`molecule_id`) REFERENCES `molecule` (`molecule_id`),
);

CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- `molecule id` description: identifying the molecule to which the atom belongs value description: TRXXX_i represents ith atom of molecule TRXXX
	PRIMARY KEY (`atom_id`),
	FOREIGN KEY (`molecule_id`) REFERENCES `molecule` (`molecule_id`),
);",198
"CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- `molecule id` description: identifying the molecule to which the atom belongs value description: TRXXX_i represents ith atom of molecule TRXXX
	`element` TEXT DEFAULT NULL, -- examples: `na`| description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
	FOREIGN KEY (`molecule_id`) REFERENCES `molecule` (`molecule_id`),
);

CREATE TABLE molecule
(
	`molecule_id` TEXT NOT NULL, -- `molecule id` description: unique id of molecule value description: ""+"" --> this molecule / compound is carcinogenic '-' this molecule is not / compound carcinogenic
	`label` TEXT DEFAULT NULL, -- examples: `-`| description: whether this molecule is carcinogenic or not
	PRIMARY KEY (`molecule_id`),
);",199
"CREATE TABLE molecule
(
	`molecule_id` TEXT NOT NULL, -- `molecule id` description: unique id of molecule value description: ""+"" --> this molecule / compound is carcinogenic '-' this molecule is not / compound carcinogenic
	`label` TEXT DEFAULT NULL, -- examples: `+`| description: whether this molecule is carcinogenic or not
	PRIMARY KEY (`molecule_id`),
);

CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- description: identifying the molecule in which the bond appears
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
	FOREIGN KEY (`molecule_id`) REFERENCES `molecule` (`molecule_id`),
);",200
"CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- `molecule id` description: identifying the molecule to which the atom belongs value description: TRXXX_i represents ith atom of molecule TRXXX
	`element` TEXT DEFAULT NULL, -- examples: `c`
	PRIMARY KEY (`atom_id`),
);

CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- description: identifying the molecule in which the bond appears
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
);",201
"CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, -- description: unique id representing bonds value description: TRxxx_A1_A2: TRXXX refers to which molecule A1 and A2 refers to which atom
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
);",202
"CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, -- `atom id` description: the unique id of atoms
	`element` TEXT DEFAULT NULL, -- examples: `b`| description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
);",203
"CREATE TABLE molecule
(
	`molecule_id` TEXT NOT NULL, -- `molecule id` description: unique id of molecule value description: ""+"" --> this molecule / compound is carcinogenic '-' this molecule is not / compound carcinogenic
	`label` TEXT DEFAULT NULL, -- examples: `+`| description: whether this molecule is carcinogenic or not
	PRIMARY KEY (`molecule_id`),
);",204
"CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, -- `atom id` description: the unique id of atoms
	`element` TEXT DEFAULT NULL, -- description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
);",205
"CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`element` TEXT DEFAULT NULL, -- examples: `o`, `f`, `c`, `na`, `i`, `p`| description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
);

CREATE TABLE connected
(
	`atom_id` TEXT NOT NULL, -- `atom id` description: id of the first atom
	`atom_id2` TEXT NOT NULL, --
	`bond_id` TEXT DEFAULT NULL, -- `bond id` description: bond id representing bond between two atoms
	PRIMARY KEY (`atom_id`,`atom_id2`),
	FOREIGN KEY (`atom_id`) REFERENCES `atom` (`atom_id`) ON DELETE CASCADE ON UPDATE CASCADE,
	FOREIGN KEY (`atom_id2`) REFERENCES `atom` (`atom_id`) ON DELETE CASCADE ON UPDATE CASCADE,
);",206
"CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, --
	`element` TEXT DEFAULT NULL, -- examples: `o`, `f`, `c`, `na`, `i`, `p`| description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
);

CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- description: identifying the molecule in which the bond appears
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
);

CREATE TABLE connected
(
	`atom_id` TEXT NOT NULL, --
	`atom_id2` TEXT NOT NULL, --
	`bond_id` TEXT DEFAULT NULL, --
	PRIMARY KEY (`atom_id`,`atom_id2`),
	FOREIGN KEY (`atom_id`) REFERENCES `atom` (`atom_id`) ON DELETE CASCADE ON UPDATE CASCADE,
	FOREIGN KEY (`atom_id2`) REFERENCES `atom` (`atom_id`) ON DELETE CASCADE ON UPDATE CASCADE,
	FOREIGN KEY (`bond_id`) REFERENCES `bond` (`bond_id`) ON DELETE CASCADE ON UPDATE CASCADE,
);",207
"CREATE TABLE molecule
(
	`molecule_id` TEXT NOT NULL, -- `molecule id` description: unique id of molecule value description: ""+"" --> this molecule / compound is carcinogenic '-' this molecule is not / compound carcinogenic
	`label` TEXT DEFAULT NULL, -- description: whether this molecule is carcinogenic or not
	PRIMARY KEY (`molecule_id`),
);

CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`molecule_id` TEXT DEFAULT NULL, -- `molecule id` description: identifying the molecule to which the atom belongs value description: TRXXX_i represents ith atom of molecule TRXXX
	`element` TEXT DEFAULT NULL, -- description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
	FOREIGN KEY (`molecule_id`) REFERENCES `molecule` (`molecule_id`),
);",208
"CREATE TABLE bond
(
	`bond_id` TEXT NOT NULL, -- description: unique id representing bonds value description: TRxxx_A1_A2: TRXXX refers to which molecule A1 and A2 refers to which atom
	`bond_type` TEXT DEFAULT NULL, -- description: type of the bond value description: -: single bond '=': double bond '#': triple bond
	PRIMARY KEY (`bond_id`),
);

CREATE TABLE connected
(
	`atom_id` TEXT NOT NULL, --
	`atom_id2` TEXT NOT NULL, --
	`bond_id` TEXT DEFAULT NULL, -- `bond id` description: bond id representing bond between two atoms
	PRIMARY KEY (`atom_id`,`atom_id2`),
	FOREIGN KEY (`atom_id`) REFERENCES `atom` (`atom_id`) ON DELETE CASCADE ON UPDATE CASCADE,
	FOREIGN KEY (`atom_id2`) REFERENCES `atom` (`atom_id`) ON DELETE CASCADE ON UPDATE CASCADE,
	FOREIGN KEY (`bond_id`) REFERENCES `bond` (`bond_id`) ON DELETE CASCADE ON UPDATE CASCADE,
);

CREATE TABLE atom
(
	`atom_id` TEXT NOT NULL, --
	`element` TEXT DEFAULT NULL, -- description: the element of the toxicology value description:  cl: chlorine  c: carbon  h: hydrogen  o: oxygen  s: sulfur  n: nitrogen  p: phosphorus  na: sodium  br: bromine  f: fluorine  i: iodine  sn: Tin  pb: lead  te: tellurium  ca: Calcium
	PRIMARY KEY (`atom_id`),
);",209
